taxon	Feature ID	Taxon
Typha latifolia	JX508607.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia;NA;NA;NA
Typha latifolia	NC_013823.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia;NA;NA;NA
Typha orientalis	JF319499.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha orientalis;NA;NA;NA
Typha orientalis	NC_050678.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha orientalis;NA;NA;NA
Urochloa deflexa	GU594571.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Urochloa;Urochloa deflexa;NA;NA;NA
Urochloa deflexa	KR738079.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Urochloa;Urochloa deflexa;NA;NA;NA
Urochloa deflexa	KR738080.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Urochloa;Urochloa deflexa;NA;NA;NA
Urtica dioica	AY208725.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;NA;NA;NA
Urtica dioica	GQ245633.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;NA;NA;NA
Urtica dioica	HQ324071.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;NA;NA;NA
Urtica dioica	KF971224.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;NA;NA;NA
Urtica dioica	NC_064948.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;NA;NA;NA
Urtica dioica subsp. dioica	KF559008.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Urtica dioica subsp. dioica;Urtica dioica var. sarmatica;NA
Urtica dioica subsp. dioica	KF559009.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Urtica dioica subsp. dioica;Urtica dioica var. angustifolia;NA
Urtica dioica subsp. dioica	KF559039.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Urtica dioica subsp. dioica;Urtica dioica var. dioica;NA
Urtica dioica subsp. dioica	KF559040.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Urtica dioica subsp. dioica;Urtica dioica var. dioica;NA
Urtica dioica subsp. dioica	KF559041.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;Urtica dioica subsp. dioica;Urtica dioica var. hispida;NA
